Algorithm,nn,sim,bin,nb,nt,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,tr,k,imp,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,preposp,strat,val,h,t,thres,w,CR
ItemKNNfairness,100,jaccard,False,,,0.0870378590101071,0.1083484835753324,0.5360934182590233,0.0532377919320594,0.0595779962648714,0.1581948482675149,1056.0,5.658174097664544,0.2829087048832271,0.2932229677651207,8.93464880765401,0.4844058503946155,0.0472911514034694,0.6296832242580964,0.7621935324435033,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemKNNfairness,100,cosine,False,,,0.0758674397846093,0.0916115237921471,0.4872611464968153,0.0455944798301486,0.0528190639624118,0.1479095909549854,1088.0,8.813163481953291,0.4406581740976645,0.3496951627978825,9.20624601400218,0.4264002715871473,0.0410522695996237,0.5401846360817358,0.5754511450782108,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemKNNfairness,100,cosine,False,,,0.0758674397846093,0.0916115237921471,0.4872611464968153,0.0455944798301486,0.0528190639624118,0.1479095909549854,1088.0,8.813163481953291,0.4406581740976645,0.3496951627978825,9.20624601400218,0.4264002715871473,0.0410522695996237,0.5401846360817358,0.5754511450782108,ItemKNNfairness,,,,,,,,,,interactions-users,nan,,,,,,1.0
ItemANNfaissLSH,100,cosine,False,32.0,30.0,0.0013305734378556,0.0015895621239449,0.019108280254777,0.0010084925690021,0.000803948725424,0.0023863726590945,1224.0,19.09235668789809,0.9546178343949044,0.3340356095246647,9.18092188491931,0.0109783131284949,0.0008199898127272,0.8720113384274095,0.7559545355021697,ItemANNfaissLSH,,,,,,,,,,,nan,,,,,,0.824328161734276
ItemANNfaissLSH,50,cosine,False,32.0,30.0,0.0025143073232929,0.002934757845271,0.0307855626326963,0.001592356687898,0.0018172927595192,0.0066603261766786,1268.0,18.814225053078555,0.9407112526539276,0.37834867764648,9.368511022588534,0.0222434232880311,0.0016540365267286,0.8786905352918846,0.6888263989097838,ItemANNfaissLSH,,,,,,,,,,,nan,,,,,,0.5817867331754264
ItemANNfaissLSH,250,cosine,False,32.0,30.0,0.000587312108718,0.0004639613735785,0.0095541401273885,0.0004777070063694,0.0005777144857053,0.0019169268917844,1091.0,19.44904458598726,0.972452229299363,0.2944131568619105,9.043026559642858,0.0070052134442741,0.0005049885277265,1.0,0.8470340116995562,ItemANNfaissLSH,,,,,,,,,,,nan,,,,,,0.9880546187780116
UserFairANN,100,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.512738853503185,0.3256369426751592,0.3508531974017905,9.274681114239504,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.7164838413848323,UserFairANN,,,,,,,,,,,approx_degree,False,10.0,3.0,0$5,1.0,0.004864970857506
UserFairANN,100,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,no_sampling,False,10.0,3.0,0$5,1.0,0.004875113256792
UserFairANN,250,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,rank,False,10.0,3.0,0$5,1.0,0.004875113256792
UserFairANN,50,cosine,False,,3.0,0.032421752471253,0.0370429064306878,0.291932059447983,0.0203821656050955,0.0231691016271284,0.0740803501162447,1065.0,6.509554140127388,0.3254777070063694,0.3508353863346555,9.274591896847314,0.191772779598615,0.0185301404185881,0.5605767720165845,0.7166602592464232,UserFairANN,,,,,,,,,,,rank,False,10.0,3.0,0$5,1.0,0.0047973548622662
UserFairANN,100,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,opt,False,10.0,3.0,0$5,1.0,0.004862716990998
UserFairANN,250,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,approx_degree,False,10.0,3.0,0$5,1.0,0.004875113256792
UserFairANN,100,cosine,False,,3.0,0.0323300129772914,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230392148640778,0.0739046853705162,1065.0,6.498938428874735,0.3249469214437367,0.3507480648196746,9.274093265068151,0.1912090832580419,0.0184742668505827,0.5595352886872396,0.717247979208842,UserFairANN,,,,,,,,,,,uniform,False,10.0,3.0,0$5,1.0,0.004850320725204
UserFairANN,250,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,no_sampling,False,10.0,3.0,0$5,1.0,0.004875113256792
UserFairANN,50,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.512738853503185,0.3256369426751592,0.3509425679775926,9.274895846987327,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.7164838413848323,UserFairANN,,,,,,,,,,,approx_degree,False,10.0,3.0,0$5,1.0,0.0047815777967102
UserFairANN,250,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,opt,False,10.0,3.0,0$5,1.0,0.004875113256792
UserFairANN,250,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.510615711252654,0.3255307855626326,0.3508794411423039,9.27477104068906,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.7166014585193631,UserFairANN,,,,,,,,,,,uniform,False,10.0,3.0,0$5,1.0,0.004870605523776
UserFairANN,50,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.511677282377919,0.3255838641188959,0.3509158513768897,9.274911832012789,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.7165426525657316,UserFairANN,,,,,,,,,,,opt,False,10.0,3.0,0$5,1.0,0.0047804508634562
UserFairANN,50,cosine,False,,3.0,0.0319777684616961,0.0366372346078185,0.291932059447983,0.0202229299363057,0.0227320763453518,0.0729081986654308,1065.0,6.496815286624204,0.3248407643312102,0.3507596498943155,9.273709878358556,0.1892964748284317,0.018297399798869,0.550014192969444,0.7173654605520984,UserFairANN,,,,,,,,,,,uniform,False,10.0,3.0,0$5,1.0,0.0047387543330583
UserFairANN,50,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,no_sampling,False,10.0,3.0,0$5,1.0,0.004875113256792
UserFairANN,100,cosine,False,,3.0,0.0323432511433778,0.0369839302570619,0.291932059447983,0.0203290870488322,0.0230898986493371,0.0739843032049111,1065.0,6.516985138004246,0.3258492569002124,0.3508706144187679,9.274831549841972,0.1913038790011575,0.0184831906674243,0.5595352886872396,0.716248544374613,UserFairANN,,,,,,,,,,,rank,False,10.0,3.0,0$5,1.0,0.004868351657268
