Algorithm,nn,sim,imp,bin,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,strat,val,h,t,thres,w,nb,nt,preposp,tr,k,CR
ItemKNNfairness,50,jaccard,,False,,,,,,,0.1125289211754085,0.1434443711697982,0.6443736730360934,0.0650743099787685,0.0738731161280694,0.1988107127342204,921.0,5.089171974522293,0.2544585987261146,0.1950065175896113,8.43286831950225,0.6376202022279699,0.0612752918329761,0.4160756737491602,0.790916870440492,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,50,cosine,,False,,,,,,,0.1031410645146896,0.1274665683338986,0.6114649681528662,0.059660297239915,0.0701430870662644,0.1936343520653384,1057.0,7.029723991507431,0.3514861995753715,0.2379787118342721,8.663478817847654,0.5915832950722266,0.0562595058179739,0.4049770481033656,0.6872078520688566,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,50,cosine,,False,,,,,,,0.1031410645146896,0.1274665683338986,0.6114649681528662,0.059660297239915,0.0701430870662644,0.1936343520653384,1057.0,7.029723991507431,0.3514861995753715,0.2379787118342721,8.663478817847654,0.5915832950722266,0.0562595058179739,0.4049770481033656,0.6872078520688566,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,250,cosine,,False,,,,,,,0.125680191106632,0.1530762667560232,0.6836518046709129,0.072452229299363,0.0840278060024268,0.2279518559438103,880.0,4.154989384288747,0.2077494692144373,0.171280757585071,8.222961348674408,0.6893986624032599,0.0664943648522599,0.5918820002361234,0.8353733974930475,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,250,cosine,,False,,,,,,,0.125680191106632,0.1530762667560232,0.6836518046709129,0.072452229299363,0.0840278060024268,0.2279518559438103,880.0,4.154989384288747,0.2077494692144373,0.171280757585071,8.222961348674408,0.6893986624032599,0.0664943648522599,0.5918820002361234,0.8353733974930475,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,250,jaccard,,False,,,,,,,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,nan,,,,,,,,interactions-users,,,1.0
ItemKNNfairness,250,jaccard,,False,,,,,,,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,nan,,,,,,,,interactions-users,,,1.0
ItemKNNfairness,50,jaccard,,False,,,,,,,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,nan,,,,,,,,interactions-users,,,1.0
ItemKNNfairness,50,jaccard,,False,,,,,,,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,nan,,,,,,,,interactions-users,,,1.0
ItemKNNfairness,250,jaccard,,False,,,,,,,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
